0
ArcA
BaeR
CadC
CpxR
CRP
Crp
CsgD
CysB
DeoR
DnaA
EcnR
EutR
FadD
FadR
FimW
FimY
FimZ
Fis
FlhD
FlhDC
FliA
FliZ
FNR
Fnr
Fur
Hha
HilA
HilC
HilD
HilE
HNS
HU
IgaA
IHF
InvF
LexA
Lrp
LsrR
LuxS
MalT
MarA
MarT
MetJ
MetR
Mlc
MntR
MviA
NadR
NrdR
NsrR
NtrC
OmpR
OxyR
PhoB
PhoP
Phop
PhoR
PmrA
PocR
PreA
PrpR
PspF
PutA
RamA
RcsA
RcsAB
RcsB
RflM
Rob
RpoS
RstA
RtsA
RtsB
SdiA
Sigma54
SirA
SirB
SlyA
SoxR
SoxS
SprB
SpvR
SsrB
STM4463
StpA
TctD
TviA
TyrR
YdgT
YdiV
Zur
