0
ahpF
cheV
flgM
flgN
flhDC
gor
katE
katN
mcpAC
mgtB
mgtC
nrdEF
ompD
ompW
pduF
pocR
slsA
STM1731
STM2786
STM2787
STM2788
STM2789
STM3784
tctE
trxB
yneB
acrD
mdtA
mdtABC
sodA
sodB
STM1530
STM3031
tolC
ompF
ompR
cpxP
rpoE
spy
aniC
ansB
araC
crp
dctA
flhD
hyaB
ilvB
ompA
osmY
pepE
pepT
prpBCDE
prpR
putA
putP
rpoS
spvB
spvR
tcuA
tcuABC
tcuR
bapA
STM2123
cysB
cysJIH
cysK
deoCABD
deoK
deoQ
dnaA
eutP
eutR
hilA
fadF
fimY
sulA
fimA
fimW
fimZ
hilE
fimAICDHF
aldB
fis
fljB
gin
gyrB
hilC
hilD
hin
invC
invE
spaO
ssaG
STM2911
STM2912
ecnR
flhC
fliA
rflM
srfA
fliZ
srfABC
STM3611
ydiV
aceF
ackA
aer
asr
cydAB
cyoABCDE
dmsA
feoB
ftnB
fumB
hmp
hmpA
hrpA
ndh
STM0761
STM0762
ycgR
ynaF
bfr
dmsABC
eutSPQTDMEJGHABCLK
ftnA
fur
hns
iroA
iroBCDE
mntH
nrdDG
nrdHIEF
prgH
prgK
ryhB
secY
sicA
sipADCB
sitABCD
STM1130
ydiE
invF
sipC
ssrA
ssrB
atpF
glpT
invA
isrJ
lpp
orgB
orgBC
siiA
siiB
siiE
sipA
sopA
sopB
sopE
sprB
ssaH
sseL
ygiM
dsbA
slrP
ytfK
dapZ
fliL
lpxR
mcpC
ssrAB
finP
igaA
map
misL
ompS1
proV
psiF
rcsA
stpA
traJ
virK
spvA
csgD
csrB
dps
mgtCB
pipB
spvABC
sipBCDA
sopE2
nanH
spvABCD
malX
marRAB
rob
metA
metE
metF
metH
metR
glyA
mntR
flgK
rcsB
nadA
nadB
pncB
pnuC
nrdAB
hcp
hcr
tehB
ygbA
ytfE
glnH
glnKamtB
bamA
cstA2
micF
narK
nrfA
ompS2
phoP
prgHIJK
sdhCDA
tppB
tviA
yehUT
agn43
ahpC
oxyR
oxyS
amgR
corA
envE
fliC
glpK
gmm
hemL
hlyE
iraP
lpxO
mgrB
mgtA
mgtCBR
orgC
pagA
pagA-pagP
pagB
pagC
pagD
pagJ
pagK
pagM
pagN
pagO
pagP
pbgE
pbgM
pcgD
pcgL
pcgP
phoN
phoPQ
pipD
pmrA
pmrAB
pmrA-pmrB
pmrB
pmrC
pmrD
prgB
prgC
rstA
sodCI
srfJ
ssaV
ugtL
ushA
ybjX
ydeI
yrbL
pbgP
pmrCAB
pmrHFIJKLM
ugd
wzz
mdaB
STM3175
cas1
sprA
fliM
glgX
spvAB
srfB
STM3155
yciGFE
acrAB
cacA
Crl
ogt
narZ
rck
sdiA
srgE
sirC
sspC
gldA
mopA
potD
sodCII
STM1795
STM4242
tpx
ucpA
ybdQ
yciF
ygaU
yhcH
yohF
soxS
nfo
nfsA
nifJ
zwf
entC
spvC
sciF
sciS
srfC
srfM
srfN
ssaB
ssaJ
ssaR
sseA
sseAB
sseG
sseI
sspH2
STM2237
STM4467
tctC
glgC
zinT
znuA
